ISIN	Ticker	Currency	Offering, mln KZT	Yield, %	Maturity
KZKA00000322	MUJ228_0003	KZT	38 000,00	0	2363 (7)
KZKD00001160	MUM096_0012	KZT	85 579,80	11	2392 (7)
KZKD00000790	MUM180_0011	KZT	202 532,20	11	2407 (7)
KZKA00000447	MUJ216_0004	KZT	12 000,00	0	2421 (7)
KZKA00000371	MUJ228_0004	KZT	10 000,00	0	2572 (7)
KZKD00000840	MUM180_0012	KZT	640 286,90	13,2	2578 (7)
KZKD00001202	MUM096_0013	KZT	16 000,00	0	2578 (7)
KZKA00000660	MUJ192_0004	KZT	21 000,00	0,1	2598 (7)
KZKA00000512	MUJ216_0005	KZT	25 000,00	0	2694 (7)
KZKA00000454	MUJ228_0005	KZT	15 000,00	0	2813 (8)
KZKD00001129	MUM120_0019	KZT	78 748,40	10,8	2981 (8)
KZKD00000964	MUM156_0006	KZT	356 518,10	10,8	3034 (8)
KZKA00000546	MUJ228_0006	KZT	30 000,00	0	3171 (9)
KZKA00000470	MUJ240_0001	KZT	25 000,00	0	3263 (9)
KZKD00000949	MUM168_0003	KZT	361 380,00	10,8	3370 (9)
KZKD00000550	MUM240_0001	KZT	87 753,40	10,7	3378 (9)
KZKD00001152	MUM132_0007	KZT	170 101,80	10,7	3470 (10)
KZKD00000931	MUM180_0013	KZT	122 576,50	10,7	3718 (10)
KZKD00000956	MUM180_0014	KZT	360 445,00	10,8	3737 (10)
KZKD00001178	MUM144_0009	KZT	83 860,40	10,7	3857 (11)
KZKD00001103	MUM156_0007	KZT	137 176,60	10,7	4031 (11)
KZKD00000741	MUM240_0002	KZT	435 989,00	9,5	4116 (11)
KZKD00000832	MUM240_0004	KZT	570 958,90	10,6	4373 (12)
KZKD00001111	MUM168_0005	KZT	140 094,90	10,5	4414 (12)
KZKD00000972	MUM216_0001	KZT	257 690,20	9,7	4914 (14)
KZKD00001186	MUM180_0015	KZT	122 946,90	10,4	4939 (14)
KZKD00001194	MUM180_0016	KZT	68 368,60	10,4	5092 (14)
KZKD00001079	MUM216_0002	KZT	297 070,50	10,5	5105 (14)
KZKD00000725	MUM300_0001	KZT	132 738,00	9,3	5774 (16)
KZKD00000774	MUM300_0002	KZT	275 000,00	10,5	5989 (17)
KZKD00000857	MUM300_0003	KZT	292 653,40	10,5	6200 (17)
KZKD00000824	MUM360_0001	KZT	80 100,00	11	7850 (22)
XS1120709826	KZ_06_4410	USD	1 000,00	5	7868 (22)
US486661AF87					
KZW100013793	NTK028_2815	KZT	968 856,10	15,8	8 (0)
KZW100013801	NTK028_2816	KZT	643 973,50	15,9	22 (0)
